ID,coal,wood,Dmin,micro,meso,SSA,pore size,Fe,waste water,Lake,DI,C0,M,pH,temperature,time,rate,Ca,Re
108,1,0,0.9,0.277013898,0.241077662,712,2.499833345,0,0,0,1,100000,100,5,25,168,150,0,11.17989
109,1,0,0.9,0.277013898,0.241077662,712,2.499833345,0,0,0,1,150000,100,5,25,168,150,0,8.833493333
110,1,0,0.9,0.277013898,0.241077662,712,2.499833345,0,0,0,1,200000,100,5,25,168,150,0,7.246225
111,1,0,0.9,0.277013898,0.241077662,712,2.499833345,0,0,0,1,250000,100,5,25,168,150,0,5.79698
112,1,0,0.25,0.347031921,0.569549203,1119.189453,1.5,0,0,0,1,828.14,4,6.6,25,0,120,0,0
113,1,0,0.25,0.347031921,0.571405351,1119.189453,1.5,0,0,0,1,828.14,4,6.6,25,24,120,0,28
114,1,0,0.25,0.347031921,0.571405351,1119.189453,1.5,0,0,0,1,828.14,4,6.6,25,72,120,0,42
115,1,0,0.25,0.347031921,0.571405351,1119.189453,1.5,0,0,0,1,828.14,4,6.6,25,168,120,0,50
116,1,0,0.25,0.347031921,0.571405351,1119.189453,1.5,0,0,0,1,828.14,4,6.6,25,336,120,0,66
117,1,0,0.25,0.347031921,0.571405351,1119.189453,1.5,0,0,0,1,828.14,4,6.6,25,336,120,0,52
118,1,0,0.25,0.347031921,0.571405351,1119.189453,1.5,0,0,0,1,828.14,4,6.6,25,336,120,0,48
119,1,0,0.25,0.347031921,0.571405351,1119.189453,1.5,0,0,0,1,828.14,4,6.6,25,336,120,0,44
120,1,0,0.25,0.347031921,0.571405351,1119.189453,1.5,0,0,0,1,828.14,4,6.6,25,336,120,50,56
121,1,0,0.25,0.347031921,0.571405351,1119.189453,1.5,0,0,0,1,828.14,4,6.6,25,336,120,0,46
122,0,0,0.4,0.347031921,0.659600496,1067.68103,1.499926925,0,0,0,1,1000,10,5.8,25,1,120,0,22.46278
123,0,0,0.4,0.347031921,0.659600496,1067.68103,1.499926925,0,0,0,1,1000,10,5.8,25,3,120,0,23.74579
124,0,0,0.4,0.347031921,0.659600496,1067.68103,1.499926925,0,0,0,1,1000,10,5.8,25,6,120,0,24.12969
125,0,0,0.4,0.347031921,0.659600496,1067.68103,1.499926925,0,0,0,1,1000,10,5.8,25,12,120,0,24.84696
126,0,0,0.4,0.347031921,0.659600496,1067.68103,1.499926925,0,0,0,1,1000,10,5.8,25,24,120,0,25.4127
127,0,0,0.4,0.347031921,0.659600496,1067.68103,1.499926925,0,0,0,1,1000,10,5.8,25,48,120,0,26.69572
128,0,0,0.4,0.347031921,0.659600496,1067.68103,1.499926925,0,0,0,1,1000,10,5.8,25,72,120,0,27.79689
129,0,0,0.4,0.347031921,0.659600496,1067.68103,1.499926925,0,0,0,1,1000,10,5.8,25,96,120,0,28.97
130,0,0,0.4,0.347031921,0.659600496,1067.68103,1.499926925,0,0,0,1,1000,10,5.8,25,120,120,0,30.55
131,1,0,0.55,0.347031921,0.257543445,1050,1.499926925,0,0,1,0,2.5,10000,7.5,25,0.25,250,0,51.5
132,1,0,0.55,0.347031921,0.257543445,1050,1.499926925,0,0,1,0,2.5,10000,7.5,25,0.25,250,0,63.57
133,1,0,0.55,0.347031921,0.257543445,1050,1.499926925,0,0,1,0,2.5,10000,7.5,25,0.25,250,0,67.2
134,1,0,0.55,0.347031921,0.257543445,1050,1.499926925,0,0,1,0,2.5,10000,7.5,25,0.25,250,0,65.41
135,1,0,0.55,0.347031921,0.257543445,1050,1.499926925,0,0,1,0,2.5,10000,7.5,25,0.25,250,0,51.34
136,1,0,0.55,0.347031921,0.257543445,1050,1.499926925,0,0,1,0,2.5,10000,7.5,25,0.25,250,0,63.41
137,1,0,0.55,0.347031921,0.257543445,1050,1.499926925,0,0,1,0,2.5,10000,7.5,25,0.25,250,0,81.1
138,1,0,0.55,0.347031921,0.257543445,1050,1.499926925,0,0,1,0,2.5,10000,7.5,25,0.25,250,0,87.06
