ID,coal,wood,Dmin,micro,meso,SSA,pore size,Fe,waste water,Lake,DI,C0,M,pH,temperature,time,rate,Ca,q
118,1,0,0.25,0.347031921,0.571405351,1119.189453,1.5,0,0,0,1,828.14,4,6.6,25,336,120,0,99.3768
119,1,0,0.25,0.347031921,0.571405351,1119.189453,1.5,0,0,0,1,828.14,4,6.6,25,336,120,0,91.0954
120,1,0,0.25,0.347031921,0.571405351,1119.189453,1.5,0,0,0,1,828.14,4,6.6,25,336,120,50,115.9396
121,1,0,0.25,0.347031921,0.571405351,1119.189453,1.5,0,0,0,1,828.14,4,6.6,25,336,120,0,95.2361
122,0,0,0.4,0.347031921,0.659600496,1067.68103,1.499926925,0,0,0,1,1000,10,5.8,25,1,120,0,22.46278
123,0,0,0.4,0.347031921,0.659600496,1067.68103,1.499926925,0,0,0,1,1000,10,5.8,25,3,120,0,23.74579
124,0,0,0.4,0.347031921,0.659600496,1067.68103,1.499926925,0,0,0,1,1000,10,5.8,25,6,120,0,24.12969
125,0,0,0.4,0.347031921,0.659600496,1067.68103,1.499926925,0,0,0,1,1000,10,5.8,25,12,120,0,24.84696
126,0,0,0.4,0.347031921,0.659600496,1067.68103,1.499926925,0,0,0,1,1000,10,5.8,25,24,120,0,25.4127
127,0,0,0.4,0.347031921,0.659600496,1067.68103,1.499926925,0,0,0,1,1000,10,5.8,25,48,120,0,26.69572
128,0,0,0.4,0.347031921,0.659600496,1067.68103,1.499926925,0,0,0,1,1000,10,5.8,25,72,120,0,27.79689
129,0,0,0.4,0.347031921,0.659600496,1067.68103,1.499926925,0,0,0,1,1000,10,5.8,25,96,120,0,28.97
130,0,0,0.4,0.347031921,0.659600496,1067.68103,1.499926925,0,0,0,1,1000,10,5.8,25,120,120,0,30.55
131,1,0,0.55,0.347031921,0.257543445,1050,1.499926925,0,0,1,0,2.5,10000,7.5,25,0.25,250,0,0.00012875
132,1,0,0.55,0.347031921,0.257543445,1050,1.499926925,0,0,1,0,2.5,10000,7.5,25,0.25,250,0,0.000158925
133,1,0,0.55,0.347031921,0.257543445,1050,1.499926925,0,0,1,0,2.5,10000,7.5,25,0.25,250,0,0.000168
134,1,0,0.55,0.347031921,0.257543445,1050,1.499926925,0,0,1,0,2.5,10000,7.5,25,0.25,250,0,0.000163525
135,1,0,0.55,0.347031921,0.257543445,1050,1.499926925,0,0,1,0,2.5,10000,7.5,25,0.25,250,0,0.00012835
136,1,0,0.55,0.347031921,0.257543445,1050,1.499926925,0,0,1,0,2.5,10000,7.5,25,0.25,250,0,0.000158525
137,1,0,0.55,0.347031921,0.257543445,1050,1.499926925,0,0,1,0,2.5,10000,7.5,25,0.25,250,0,0.00020275
138,1,0,0.55,0.347031921,0.257543445,1050,1.499926925,0,0,1,0,2.5,10000,7.5,25,0.25,250,0,0.00021765
139,0,1,0.6,0.277013898,0.668997526,2450,1.52012217,0,1,0,0,120000,200,4,25,48,170,0.7,404.16
140,1,0,0.6,0.277013898,0.301070839,1000,1.52012217,0,1,0,0,120000,200,4,25,48,170,0.7,183.48
141,0,1,0.6,0.277013898,0.668445468,2450,1.52012217,0,1,0,0,120000,200,4,25,0.25,170,0.7,121.5626706
142,0,1,0.6,0.277013898,0.668445468,2450,1.52012217,0,1,0,0,120000,200,4,25,0.5,170,0.7,168.1621084
143,0,1,0.6,0.277013898,0.668649018,2450,1.52012217,0,1,0,0,120000,200,4,25,3.5,170,0.7,273.4973757
144,0,1,0.6,0.277013898,0.668825209,2450,1.52012217,0,1,0,0,120000,200,4,25,12.5,170,0.7,334.4401983
145,0,1,0.6,0.277013898,0.668997526,2450,1.52012217,0,1,0,0,120000,200,4,25,22.5,170,0.7,369.4580982
146,0,1,0.6,0.277013898,0.668997526,2450,1.52012217,0,1,0,0,120000,200,4,25,33.5,170,0.7,399.5154395
147,0,1,0.6,0.277013898,0.668997526,2450,1.52012217,0,1,0,0,120000,200,4,25,46,170,0.7,399.5154395
148,0,1,0.6,0.277013898,0.668997526,2450,1.52012217,0,1,0,0,120000,200,4,25,57.5,170,0.7,404.753425
149,0,1,0.6,0.277013898,0.668997526,2450,1.52012217,0,1,0,0,120000,200,4,25,69.5,170,0.7,402.5464319
150,0,1,0.6,0.277013898,0.668997526,2450,1.52012217,0,1,0,0,120000,200,4,25,81.5,170,0.7,406.6829912
151,0,1,0.6,0.277013898,0.668997526,2450,1.52012217,0,1,0,0,120000,100,4,25,48,170,0.7,398.4
152,0,1,0.6,0.277013898,0.668997526,2450,1.52012217,0,1,0,0,120000,200,4,25,48,170,0.7,407.4
153,0,1,0.6,0.277013898,0.668997526,2450,1.52012217,0,1,0,0,120000,300,4,25,48,170,0.7,356.48
154,0,1,0.6,0.277013898,0.668649018,2450,1.52012217,0,1,0,0,120000,500,4,25,48,170,0.7,231.84
155,0,1,0.6,0.277013898,0.668445468,2450,1.52012217,0,1,0,0,120000,700,4,25,48,170,0.7,168.8571429
156,0,1,0.6,0.277013898,0.668445468,2450,1.52012217,0,1,0,0,120000,1100,4,25,48,170,0.7,109.0909091
157,0,1,0.6,0.277013898,0.668445468,2450,1.52012217,0,1,0,0,120000,1500,4,25,48,170,0.7,80
158,0,1,0.6,0.277013898,0.668445468,2450,1.52012217,0,1,0,0,120000,1900,4,25,48,170,0.7,63.15789474
159,0,1,0.6,0.277013898,0.668997526,2450,1.52012217,0,1,0,0,120000,200,2,25,48,170,0.7,507.55302
160,0,1,0.6,0.277013898,0.668997526,2450,1.52012217,0,1,0,0,120000,200,3,25,48,170,0.7,459.20478
161,0,1,0.6,0.277013898,0.668997526,2450,1.52012217,0,1,0,0,120000,200,4,25,48,170,0.7,420.7911
162,0,1,0.6,0.277013898,0.670117736,2450,1.52012217,0,1,0,0,120000,200,5,25,48,170,0.7,407.21382
163,0,1,0.6,0.277013898,0.670117736,2450,1.52012217,0,1,0,0,120000,200,6,25,48,170,0.7,404.56464
164,0,1,0.6,0.277013898,0.670191109,2450,1.52012217,0,1,0,0,120000,200,7,25,48,170,0.7,404.56464
165,0,1,0.6,0.277013898,0.669770956,2450,1.52012217,0,1,0,0,120000,200,8,25,48,170,0.7,403.24002
166,0,1,0.6,0.277013898,0.668801367,2450,1.52012217,0,1,0,0,120000,200,9,25,48,170,0.7,400.92192
167,0,1,0.6,0.277013898,0.668997526,2450,1.52012217,0,0,0,1,120000,200,4,25,48,170,0.7,518.65242
168,0,1,0.6,0.277013898,0.668997526,2450,1.52012217,0,0,0,1,120000,200,4,25,48,170,0,345.0726
169,0,1,0.6,0.277013898,0.668997526,2450,1.52012217,0,0,0,1,120000,200,4,25,48,170,0,345.0726
170,0,1,0.6,0.277013898,0.668825209,2450,1.52012217,0,0,0,1,120000,200,4,25,48,170,0,332.09796
171,0,1,0.6,0.277013898,0.668649018,2450,1.52012217,0,0,0,1,120000,200,4,25,48,170,0,293.87532
172,0,1,0.6,0.277013898,0.668649018,2450,1.52012217,0,0,0,1,120000,200,4,25,48,170,0,292.82334
173,0,1,0.6,0.277013898,0.668997526,2450,1.52012217,0,0,0,1,120000,200,4,25,48,170,0.7,530.57508
174,0,1,0.6,0.277013898,0.668997526,2450,1.52012217,0,1,0,0,120000,200,4,25,48,170,0.7,405.73788
