ID,ground water,surface water,Lake,C0,coal,wood,Dmin,Dmax,micro,meso,SSA,pore size,Fe,M,pH,temperature,time,rate,Ca,TOC,Re
104,0,0,0,50000,1,0,0.9,1,0.250492424,0.178060681,712,2.499833345,0,100,7,25,168,150,0,0,19.87536
105,0,0,0,50000,1,0,0.9,1,0.250492424,0.178060681,712,2.499833345,0,100,7,25,192,150,0,0,19.87536
106,0,0,0,20000,1,0,0.9,1,0.250492424,0.180717304,712,2.499833345,0,100,5,25,168,150,0,0,37.2663
107,0,0,0,50000,1,0,0.9,1,0.250492424,0.178113326,712,2.499833345,0,100,5,25,168,150,0,0,19.87536
108,0,0,0,100000,1,0,0.9,1,0.250492424,0.17850709,712,2.499833345,0,100,5,25,168,150,0,0,11.17989
109,0,0,0,150000,1,0,0.9,1,0.250492424,0.179786399,712,2.499833345,0,100,5,25,168,150,0,0,8.833493333
110,0,0,0,200000,1,0,0.9,1,0.250492424,0.179786399,712,2.499833345,0,100,5,25,168,150,0,0,7.246225
111,0,0,0,250000,1,0,0.9,1,0.250492424,0.179786399,712,2.499833345,0,100,5,25,168,150,0,0,5.79698
112,0,0,0,828.14,1,0,0.25,0.425,0.314636469,0.237870261,1119.189453,1.5,0,4,6.6,25,0,120,0,0,0
113,0,0,0,828.14,1,0,0.25,0.425,0.314636469,0.258119345,1119.189453,1.5,0,4,6.6,25,24,120,0,0,28
114,0,0,0,828.14,1,0,0.25,0.425,0.314636469,0.258119345,1119.189453,1.5,0,4,6.6,25,72,120,0,0,42
115,0,0,0,828.14,1,0,0.25,0.425,0.314636469,0.258072525,1119.189453,1.5,0,4,6.6,25,168,120,0,0,50
116,0,0,0,828.14,1,0,0.25,0.425,0.314636469,0.258072525,1119.189453,1.5,0,4,6.6,25,336,120,0,0,66
117,0,0,0,828.14,1,0,0.25,0.425,0.314636469,0.258072525,1119.189453,1.5,0,4,6.6,25,336,120,0,0,52
118,0,0,0,828.14,1,0,0.25,0.425,0.314636469,0.258119345,1119.189453,1.5,0,4,6.6,25,336,120,0,0,48
119,0,0,0,828.14,1,0,0.25,0.425,0.314636469,0.258119345,1119.189453,1.5,0,4,6.6,25,336,120,0,0,44
120,0,0,0,828.14,1,0,0.25,0.425,0.314636469,0.258072525,1119.189453,1.5,0,4,6.6,25,336,120,50,0,56
121,0,0,0,828.14,1,0,0.25,0.425,0.314636469,0.258119345,1119.189453,1.5,0,4,6.6,25,336,120,0,0,46
122,0,0,0,1000,0,0,0.4,0.6,0.314636469,0.311000854,1067.68103,1.499926925,0,10,5.8,25,1,120,0,0,22.46278
123,0,0,0,1000,0,0,0.4,0.6,0.314636469,0.311000854,1067.68103,1.499926925,0,10,5.8,25,3,120,0,0,23.74579
124,0,0,0,1000,0,0,0.4,0.6,0.314636469,0.311000854,1067.68103,1.499926925,0,10,5.8,25,6,120,0,0,24.12969
125,0,0,0,1000,0,0,0.4,0.6,0.314636469,0.311000854,1067.68103,1.499926925,0,10,5.8,25,12,120,0,0,24.84696
126,0,0,0,1000,0,0,0.4,0.6,0.314636469,0.311000854,1067.68103,1.499926925,0,10,5.8,25,24,120,0,0,25.4127
127,0,0,0,1000,0,0,0.4,0.6,0.314636469,0.311000854,1067.68103,1.499926925,0,10,5.8,25,48,120,0,0,26.69572
128,0,0,0,1000,0,0,0.4,0.6,0.314636469,0.311000854,1067.68103,1.499926925,0,10,5.8,25,72,120,0,0,27.79689
129,0,0,0,1000,0,0,0.4,0.6,0.314636469,0.311000854,1067.68103,1.499926925,0,10,5.8,25,96,120,0,0,28.97
130,0,0,0,1000,0,0,0.4,0.6,0.314636469,0.311000854,1067.68103,1.499926925,0,10,5.8,25,120,120,0,0,30.55
131,0,0,1,2.5,1,0,0.55,0.75,0.318617821,0.203826249,1050,1.499926925,0,10000,7.5,25,0.25,250,0,0,51.5
