ID,ground water,surface water,Lake,C0,coal,wood,Dmin,Dmax,micro,meso,SSA,pore size,Fe,M,pH,temperature,time,rate,Ca,TOC,q
89,0,0,0,50000,1,0,0.9,1,0.250492424,0.211151749,712,2.499833345,0,100,3,25,72,150,0,0,149.0652
90,0,0,0,50000,1,0,0.9,1,0.250492424,0.211151749,712,2.499833345,0,100,3,25,96,150,0,0,149.0652
91,0,0,0,50000,1,0,0.9,1,0.250492424,0.211151749,712,2.499833345,0,100,3,25,120,150,0,0,153.2059
92,0,0,0,50000,1,0,0.9,1,0.250492424,0.211151749,712,2.499833345,0,100,3,25,144,150,0,0,153.2059
93,0,0,0,50000,1,0,0.9,1,0.250492424,0.211151749,712,2.499833345,0,100,3,25,168,150,0,0,153.2059
94,0,0,0,50000,1,0,0.9,1,0.250492424,0.211151749,712,2.499833345,0,100,3,25,192,150,0,0,153.2059
95,0,0,0,50000,1,0,0.9,1,0.250492424,0.144321844,712,2.499833345,0,100,7,25,1,150,0,0,4.1407
96,0,0,0,50000,1,0,0.9,1,0.250492424,0.178447053,712,2.499833345,0,100,7,25,6,150,0,0,16.5628
97,0,0,0,50000,1,0,0.9,1,0.250492424,0.178447053,712,2.499833345,0,100,7,25,12,150,0,0,33.1256
98,0,0,0,50000,1,0,0.9,1,0.250492424,0.179733753,712,2.499833345,0,100,7,25,24,150,0,0,37.2663
99,0,0,0,50000,1,0,0.9,1,0.250492424,0.178454444,712,2.499833345,0,100,7,25,48,150,0,0,57.9698
100,0,0,0,50000,1,0,0.9,1,0.250492424,0.178060681,712,2.499833345,0,100,7,25,72,150,0,0,74.5326
101,0,0,0,50000,1,0,0.9,1,0.250492424,0.178060681,712,2.499833345,0,100,7,25,96,150,0,0,82.814
102,0,0,0,50000,1,0,0.9,1,0.250492424,0.178060681,712,2.499833345,0,100,7,25,120,150,0,0,91.0954
103,0,0,0,50000,1,0,0.9,1,0.250492424,0.178060681,712,2.499833345,0,100,7,25,144,150,0,0,95.2361
104,0,0,0,50000,1,0,0.9,1,0.250492424,0.178060681,712,2.499833345,0,100,7,25,168,150,0,0,99.3768
105,0,0,0,50000,1,0,0.9,1,0.250492424,0.178060681,712,2.499833345,0,100,7,25,192,150,0,0,99.3768
106,0,0,0,20000,1,0,0.9,1,0.250492424,0.180717304,712,2.499833345,0,100,5,25,168,150,0,0,74.5326
107,0,0,0,50000,1,0,0.9,1,0.250492424,0.178113326,712,2.499833345,0,100,5,25,168,150,0,0,99.3768
108,0,0,0,100000,1,0,0.9,1,0.250492424,0.17850709,712,2.499833345,0,100,5,25,168,150,0,0,111.7989
109,0,0,0,150000,1,0,0.9,1,0.250492424,0.179786399,712,2.499833345,0,100,5,25,168,150,0,0,132.5024
110,0,0,0,200000,1,0,0.9,1,0.250492424,0.179786399,712,2.499833345,0,100,5,25,168,150,0,0,144.9245
111,0,0,0,250000,1,0,0.9,1,0.250492424,0.179786399,712,2.499833345,0,100,5,25,168,150,0,0,144.9245
112,0,0,0,828.14,1,0,0.25,0.425,0.314636469,0.237870261,1119.189453,1.5,0,4,6.6,25,0,120,0,0,0
113,0,0,0,828.14,1,0,0.25,0.425,0.314636469,0.258119345,1119.189453,1.5,0,4,6.6,25,24,120,0,0,57.9698
114,0,0,0,828.14,1,0,0.25,0.425,0.314636469,0.258119345,1119.189453,1.5,0,4,6.6,25,72,120,0,0,86.9547
115,0,0,0,828.14,1,0,0.25,0.425,0.314636469,0.258072525,1119.189453,1.5,0,4,6.6,25,168,120,0,0,103.5175
116,0,0,0,828.14,1,0,0.25,0.425,0.314636469,0.258072525,1119.189453,1.5,0,4,6.6,25,336,120,0,0,136.6431
117,0,0,0,828.14,1,0,0.25,0.425,0.314636469,0.258072525,1119.189453,1.5,0,4,6.6,25,336,120,0,0,107.6582
118,0,0,0,828.14,1,0,0.25,0.425,0.314636469,0.258119345,1119.189453,1.5,0,4,6.6,25,336,120,0,0,99.3768
119,0,0,0,828.14,1,0,0.25,0.425,0.314636469,0.258119345,1119.189453,1.5,0,4,6.6,25,336,120,0,0,91.0954
120,0,0,0,828.14,1,0,0.25,0.425,0.314636469,0.258072525,1119.189453,1.5,0,4,6.6,25,336,120,50,0,115.9396
121,0,0,0,828.14,1,0,0.25,0.425,0.314636469,0.258119345,1119.189453,1.5,0,4,6.6,25,336,120,0,0,95.2361
122,0,0,0,1000,0,0,0.4,0.6,0.314636469,0.311000854,1067.68103,1.499926925,0,10,5.8,25,1,120,0,0,22.46278
123,0,0,0,1000,0,0,0.4,0.6,0.314636469,0.311000854,1067.68103,1.499926925,0,10,5.8,25,3,120,0,0,23.74579
124,0,0,0,1000,0,0,0.4,0.6,0.314636469,0.311000854,1067.68103,1.499926925,0,10,5.8,25,6,120,0,0,24.12969
125,0,0,0,1000,0,0,0.4,0.6,0.314636469,0.311000854,1067.68103,1.499926925,0,10,5.8,25,12,120,0,0,24.84696
126,0,0,0,1000,0,0,0.4,0.6,0.314636469,0.311000854,1067.68103,1.499926925,0,10,5.8,25,24,120,0,0,25.4127
127,0,0,0,1000,0,0,0.4,0.6,0.314636469,0.311000854,1067.68103,1.499926925,0,10,5.8,25,48,120,0,0,26.69572
128,0,0,0,1000,0,0,0.4,0.6,0.314636469,0.311000854,1067.68103,1.499926925,0,10,5.8,25,72,120,0,0,27.79689
129,0,0,0,1000,0,0,0.4,0.6,0.314636469,0.311000854,1067.68103,1.499926925,0,10,5.8,25,96,120,0,0,28.97
130,0,0,0,1000,0,0,0.4,0.6,0.314636469,0.311000854,1067.68103,1.499926925,0,10,5.8,25,120,120,0,0,30.55
131,0,0,1,2.5,1,0,0.55,0.75,0.318617821,0.203826249,1050,1.499926925,0,10000,7.5,25,0.25,250,0,0,0.00012875
132,0,0,1,2.5,1,0,0.55,0.75,0.318617821,0.203826249,1050,1.499926925,0,10000,7.5,25,0.25,250,0,2,0.000158925
133,0,0,1,2.5,1,0,0.55,0.75,0.318617821,0.203826249,1050,1.499926925,0,10000,7.5,25,0.25,250,0,4,0.000168
134,0,0,1,2.5,1,0,0.55,0.75,0.318617821,0.203826249,1050,1.499926925,0,10000,7.5,25,0.25,250,0,8,0.000163525
135,0,0,1,2.5,1,0,0.55,0.75,0.318617821,0.203826249,1050,1.499926925,0,10000,7.5,25,0.25,250,0,0,0.00012835
136,0,0,1,2.5,1,0,0.55,0.75,0.318617821,0.203826249,1050,1.499926925,0,10000,7.5,25,0.25,250,0,2,0.000158525
137,0,0,1,2.5,1,0,0.55,0.75,0.318617821,0.203826249,1050,1.499926925,0,10000,7.5,25,0.25,250,0,4,0.00020275
138,0,0,1,2.5,1,0,0.55,0.75,0.318617821,0.203826249,1050,1.499926925,0,10000,7.5,25,0.25,250,0,8,0.00021765
139,0,0,0,120000,0,1,0.6,0.85,0.314636469,0.639057338,2450,1.52012217,0,200,4,25,48,170,0.7,63.2,404.16
140,0,0,0,120000,1,0,0.6,0.85,0.314636469,0.270592153,1000,1.52012217,0,200,4,25,48,170,0.7,63.2,183.48
141,0,0,0,120000,0,1,0.6,0.85,0.314636469,0.638633549,2450,1.52012217,0,200,4,25,0.25,170,0.7,63.2,121.5626706
142,0,0,0,120000,0,1,0.6,0.85,0.314636469,0.638633549,2450,1.52012217,0,200,4,25,0.5,170,0.7,63.2,168.1621084
143,0,0,0,120000,0,1,0.6,0.85,0.314636469,0.638633549,2450,1.52012217,0,200,4,25,3.5,170,0.7,63.2,273.4973757
144,0,0,0,120000,0,1,0.6,0.85,0.314636469,0.639057338,2450,1.52012217,0,200,4,25,12.5,170,0.7,63.2,334.4401983
145,0,0,0,120000,0,1,0.6,0.85,0.314636469,0.639057338,2450,1.52012217,0,200,4,25,22.5,170,0.7,63.2,369.4580982
146,0,0,0,120000,0,1,0.6,0.85,0.314636469,0.639057338,2450,1.52012217,0,200,4,25,33.5,170,0.7,63.2,399.5154395
147,0,0,0,120000,0,1,0.6,0.85,0.314636469,0.639057338,2450,1.52012217,0,200,4,25,46,170,0.7,63.2,399.5154395
148,0,0,0,120000,0,1,0.6,0.85,0.314636469,0.639057338,2450,1.52012217,0,200,4,25,57.5,170,0.7,63.2,404.753425
149,0,0,0,120000,0,1,0.6,0.85,0.314636469,0.639057338,2450,1.52012217,0,200,4,25,69.5,170,0.7,63.2,402.5464319
150,0,0,0,120000,0,1,0.6,0.85,0.314636469,0.639057338,2450,1.52012217,0,200,4,25,81.5,170,0.7,63.2,406.6829912
151,0,0,0,120000,0,1,0.6,0.85,0.314636469,0.639104128,2450,1.52012217,0,100,4,25,48,170,0.7,63.2,398.4
152,0,0,0,120000,0,1,0.6,0.85,0.314636469,0.639057338,2450,1.52012217,0,200,4,25,48,170,0.7,63.2,407.4
153,0,0,0,120000,0,1,0.6,0.85,0.314636469,0.639057338,2450,1.52012217,0,300,4,25,48,170,0.7,63.2,356.48
154,0,0,0,120000,0,1,0.6,0.85,0.318617821,0.638172567,2450,1.52012217,0,500,4,25,48,170,0.7,63.2,231.84
155,0,0,0,120000,0,1,0.6,0.85,0.318617821,0.638172567,2450,1.52012217,0,700,4,25,48,170,0.7,63.2,168.8571429
156,0,0,0,120000,0,1,0.6,0.85,0.318617821,0.637876511,2450,1.52012217,0,1100,4,25,48,170,0.7,63.2,109.0909091
157,0,0,0,120000,0,1,0.6,0.85,0.318617821,0.637876511,2450,1.52012217,0,1500,4,25,48,170,0.7,63.2,80
158,0,0,0,120000,0,1,0.6,0.85,0.318617821,0.637876511,2450,1.52012217,0,1900,4,25,48,170,0.7,63.2,63.15789474
159,0,0,0,120000,0,1,0.6,0.85,0.314636469,0.63713187,2450,1.52012217,0,200,2,25,48,170,0.7,63.2,507.55302
160,0,0,0,120000,0,1,0.6,0.85,0.314636469,0.63713187,2450,1.52012217,0,200,3,25,48,170,0.7,63.2,459.20478
161,0,0,0,120000,0,1,0.6,0.85,0.314636469,0.639057338,2450,1.52012217,0,200,4,25,48,170,0.7,63.2,420.7911
162,0,0,0,120000,0,1,0.6,0.85,0.314636469,0.638755262,2450,1.52012217,0,200,5,25,48,170,0.7,63.2,407.21382
163,0,0,0,120000,0,1,0.6,0.85,0.314636469,0.638755262,2450,1.52012217,0,200,6,25,48,170,0.7,63.2,404.56464
164,0,0,0,120000,0,1,0.6,0.85,0.314636469,0.638702631,2450,1.52012217,0,200,7,25,48,170,0.7,63.2,404.56464
165,0,0,0,120000,0,1,0.6,0.85,0.314636469,0.638702631,2450,1.52012217,0,200,8,25,48,170,0.7,63.2,403.24002
166,0,0,0,120000,0,1,0.6,0.85,0.314636469,0.638702631,2450,1.52012217,0,200,9,25,48,170,0.7,63.2,400.92192
167,0,0,0,120000,0,1,0.6,0.85,0.314636469,0.639057338,2450,1.52012217,0,200,4,25,48,170,0.7,0,518.65242
168,0,0,0,120000,0,1,0.6,0.85,0.314636469,0.639057338,2450,1.52012217,0,200,4,25,48,170,0,0,345.0726
169,0,0,0,120000,0,1,0.6,0.85,0.314636469,0.639057338,2450,1.52012217,0,200,4,25,48,170,0,0,345.0726
170,0,0,0,120000,0,1,0.6,0.85,0.314636469,0.639057338,2450,1.52012217,0,200,4,25,48,170,0,0,332.09796
171,0,0,0,120000,0,1,0.6,0.85,0.314636469,0.63858676,2450,1.52012217,0,200,4,25,48,170,0,0,293.87532
172,0,0,0,120000,0,1,0.6,0.85,0.314636469,0.63858676,2450,1.52012217,0,200,4,25,48,170,0,0,292.82334
173,0,0,0,120000,0,1,0.6,0.85,0.314636469,0.639057338,2450,1.52012217,0,200,4,25,48,170,0.7,0,530.57508
